name,business_id,city,state,stars,categories
Neptune Chinese Kitchen - Davie,jCOWG8ofFhgzZ3jC36Doxg,Vancouver,BC,3.0,"Chinese, Restaurants, Barbeque, Dim Sum, Seafood"
Papa Dave's Pizza,ZzbZclhVOFDj5nNorQAFwg,Port Coquitlam,BC,3.5,"Restaurants, Pizza"
McDonald's,euHfgmZUq5liMtnQPMsKLw,Delaware,OH,1.5,"Restaurants, Food, Burgers, Coffee & Tea, Fast Food"
Nak Won Korean Restaurant,DGSODeoRUnn-Sg5RLD_aMA,Beaverton,OR,4.0,"Korean, Delis, Restaurants"
Savage Pizza,uUI6RO4Sa11TRBCrox_R1w,Avondale Estates,GA,3.5,"Restaurants, Pizza, Shopping"
Mahony & Sons,d6O__uJD_iqBep1UPOXiBw,Vancouver,BC,2.5,"Pubs, Bars, Restaurants, Nightlife, Food, Beer, Wine & Spirits, Irish, American (New)"
Sanford Brewing Company - Maitland,INOcW2rjBoxPslRDNykMAg,Maitland,FL,4.0,"Breweries, Restaurants, Food, Brewpubs, American (New)"
LP Pizza & Subs,9V7OkwpXkHFUo8Xl7Dn5Fw,Somerville,MA,3.5,"Sandwiches, Restaurants, Pizza"
Cafe Lucia,b03kuA0WVw7gNoS2CBSvLA,Smyrna,GA,4.0,"Restaurants, Coffee Roasteries, Breakfast & Brunch, Food, Coffee & Tea"
American Deli,f4vtbiHn2YOJ2DD30CvGYw,Atlanta,GA,2.5,"Restaurants, American (Traditional), Delis, Seafood, Fast Food, Chicken Wings, Cheesesteaks, Chicken Shop"
Cheng's Asian Bistro,6rtv4DSaphw5nChKYsFVDA,Ocoee,FL,3.5,"Restaurants, Asian Fusion, Sushi Bars, Chinese"
Subway,PcPMURAMwjHS6o7qzzn9IQ,Orlando,FL,3.0,"Sandwiches, Restaurants, Fast Food"
NYPD Pizza,KJeSF0f5Z_7MECzTvtiiow,Orlando,FL,4.0,"Pizza, Restaurants, Italian"
Marinos Cafe,L8jgXK8UJ9dYfHh0-QG6Og,Beverly,MA,3.5,"Restaurants, Breakfast & Brunch, Food, Coffee & Tea, Sandwiches"
Everyday Sushi,vnOhpYbHv7PZXD1iwKytXg,Vancouver,BC,3.0,"Restaurants, Sushi Bars"
Assembli,e9Co2sExb1UltcIsUa53WA,Vancouver,BC,4.0,"Pizza, Restaurants, Salad, Food"
Horseshoe Bay Chinese Restaurant,IvV9sKvWF6-CSZq8aV9IRA,West Vancouver,BC,4.0,"Restaurants, Chinese"
Java Hut Cafe,bQJQFyJg-Db2bc6W2e6SZQ,North Vancouver,BC,4.0,"Restaurants, Cafes"
Taipei Noodle Haus,ADm5xkCMPiW1Mf7KxcvOtQ,Portland,OR,3.5,"Restaurants, Korean, Taiwanese, Chinese, Noodles"
Fernando's Alegria,HmX-Rqy-Kp22peQ_7r_c6A,Portland,OR,4.0,"Food Stands, Food Trucks, Food, Mexican, Restaurants"
Seorae,ATueSgNCTokoqM5OnS_IWA,Richmond,BC,2.0,"Restaurants, Korean, Barbeque"
Curry Up Indian Grill,DbMG_ohDlbDWdQOT1gcXfg,Columbus,OH,4.5,"Restaurants, Pakistani, Vegan, Salad, Indian, Gluten-Free"
Arby's,tceZ3XvxQzBb9rUYv3ufTA,Portland,OR,2.5,"Restaurants, Sandwiches, Fast Food"
The French Quarter Pub,NEp_KyzNllnLJWwQ1UAVlQ,Coquitlam,BC,4.0,"Nightlife, Bars, Pubs"
Papi Chulo's,r_sOAVfNPaXrpjznZpuxeg,Portland,OR,4.0,"Mexican, Restaurants, Tacos, Breakfast & Brunch"
Route 12 Filling Station,sJulKSnmZPOitayQ41zWGA,Dripping Springs,TX,4.5,"Comfort Food, Food, American (New), Burgers, American (Traditional), Restaurants, Salad"
Nan Ban,xqw8D-aQAFoB3rs5zfTFXA,Portland,OR,4.5,"Tapas/Small Plates, Restaurants, Japanese"
Legal Sea Foods,c_zJ4-P-WFC7QxxcQnu3fQ,Framingham,MA,3.5,"Beer, Wine & Spirits, Seafood Markets, Specialty Food, Nightlife, Gluten-Free, Seafood, Restaurants, Bars, Food"
Grays,RP8Mx0OkLFKGfJLdtXbBsA,Vancouver,WA,3.5,"Restaurants, Pizza, American (Traditional), American (New), Breakfast & Brunch"
Burger King,JYEV5I3e49PwHmVxOhnrLg,Portland,OR,2.0,"Fast Food, Restaurants, Burgers"
Dairy Queen Grill & Chill,I9gNfcHOlkwUnd5Q00TbuA,Orlando,FL,3.0,"Fast Food, Restaurants, Food, Burgers, Ice Cream & Frozen Yogurt"
Five Guys,juJa-LkgQMh728iiOBhZsA,Austin,TX,3.0,"Food, Fast Food, Burgers, American (New), Restaurants"
Shizenya on Denman,7tWCarnSZxDHmnIJ0tkUuA,Vancouver,BC,4.0,"Gluten-Free, Japanese, Sushi Bars, Restaurants, Vegan"
Village Idiot Pub,RQE2N8NSBHDiq6ZeT6GwNQ,Cocoa,FL,4.5,"Pubs, Bars, Nightlife"
Mollie Maguire's Pub,mLSXijro7AB7t9uVsOnGOA,Weymouth,MA,3.0,"Pubs, Bars, Nightlife, Irish, Restaurants"
Westward Ho,p0vINwdv6I_SRw_CIlO9kQ,Orlando,FL,2.5,"Active Life, Restaurants, Amusement Parks, Food Stands, Food"
Alfredo Aiello Italian Foods - Norwell,T1Zjs_UUAmyx5JKWz62yDQ,Norwell,MA,4.0,"Italian, Seafood Markets, Meat Shops, Specialty Food, Ethnic Food, Food, Restaurants, Grocery"
Popeyes Louisiana Kitchen,0IDyC1A7ZVHOvUCuYtASCQ,Roslindale,MA,3.0,"American (Traditional), Food, Desserts, Restaurants, Fast Food, Southern, Soul Food, Chicken Wings"
Canton House,1GMBD09cMwCBIo2TZ8IAEw,Boston,MA,3.0,"Restaurants, Food, Chinese"
Territory Lounge,mqnV-oPj24_3ijMdWeB38g,Orlando,FL,4.0,"Nightlife, Lounges, Restaurants, Bars"
McDonald's,sXnt7QW2z4RbQ3cg2Q9WcQ,Natick,MA,2.0,"Burgers, Restaurants, Fast Food, Food, Coffee & Tea"
Ali Baba,FkoogYkpIgMpySZJk7018A,Atlanta,GA,4.0,"Bars, Restaurants, Nightlife, Turkish, Greek, Falafel, Hookah Bars, Mediterranean"
Lord Hobo,A3D8gBGNmt51kvcI0GkaGQ,Cambridge,MA,3.5,"American (Traditional), Bars, Nightlife, Restaurants, Breakfast & Brunch"
The Coffee Shoppe,1ZO5aOEV5KO7e_kDiWXZIQ,Titusville,FL,4.0,"Sandwiches, Cafes, Restaurants, Breakfast & Brunch"
Gallo's Tap Room,7gsIqs7JJJTHFmMyP4_TZw,Columbus,OH,4.0,"American (Traditional), Nightlife, Sandwiches, Restaurants, Sports Bars, Pubs, Bars"
The Goat Dublin,HG0XNtoQedhDlRfF6QNeUw,Dublin,OH,3.5,"Active Life, Restaurants, Amateur Sports Teams, Bars, Nightlife, Burgers, American (Traditional)"
JP Licks,iPdXDkr0mRYSDzyCZ3yJVA,Lynnfield,MA,3.5,"Bakeries, Restaurants, Ice Cream & Frozen Yogurt, Coffee & Tea, Food, Kosher"
Kurumba Restaurant,DcvDbBYr-PhNYg00MakT4w,Port Moody,BC,4.0,"Restaurants, Pan Asian, Asian Fusion, Malaysian, Sri Lankan, Chinese"
Sonic Drive-In,DXLo5Mf0j05aZCSxzdgpEg,Austin,TX,1.5,"Fast Food, Ice Cream & Frozen Yogurt, Burgers, Food, Restaurants"
Darcy's,VcYLItq2Z82XeFEsZ-3SQQ,Portland,OR,3.5,"Bars, Restaurants, American (Traditional), Nightlife, Burgers, Breakfast & Brunch, Pubs, Pizza, Lounges"
Mr. Natural,0wljsy6_0HIni0pooc5ozw,Austin,TX,4.0,"Gluten-Free, Mexican, Specialty Food, Vegetarian, Restaurants, Health Markets, Food"
HOBNOB Neighborhood Tavern - Dunwoody,QfBPiPJDEOad4eddttvXYQ,Atlanta,GA,4.0,"Pizza, Restaurants, American (Traditional), Nightlife, Pubs, American (New), Bars"
Denny's,utQq1NLfmQlAohUULlaQwg,Clermont,FL,2.5,"Diners, Breakfast & Brunch, American (Traditional), Restaurants"
Daddy's Grill,dQjv55_rr1mdF18H6baRxg,Richmond,BC,4.5,"Persian/Iranian, Restaurants, Halal, Pizza"
Cameron's American Bistro,dJWEzqPtq_g6Nki_cXdHGQ,Worthington,OH,4.0,"Bars, Restaurants, Nightlife, Gluten-Free, American (New)"
Puritan Pizza,DvP4ZL3zQDg_2oA5iqgxbw,Dorchester,MA,3.5,"Restaurants, Pizza"
Chipotle Mexican Grill,NWFzrEn9UzBJ_R66wat6xg,Columbus,OH,2.5,"Fast Food, Mexican, Restaurants"
Rosen Inn Lake Buena Vista,4UHqIiqzS2sgnhNi0cXtXw,Orlando,FL,2.5,"Hotels & Travel, Restaurants, Event Planning & Services, Hotels, Buffets, Venues & Event Spaces"
Railtown Cafe,0_2GeXhNjcOcph_hiINZ6w,Vancouver,BC,3.0,"Sandwiches, Food, Coffee & Tea, Soup, Salad, Restaurants, Cafes"
Indian Oven,M0i5Fgs9aA2ODygXQNt2Qw,Columbus,OH,4.0,"Pakistani, Restaurants, Indian"
